region	chr	midPos	Nsites_fst	fst	BLOCKstart	BLOCKend	Numer	Denom	Nsites_Dstat	Dstat	gene.density	gene.count	recombination.rate	tP.lec	Nsites_lec	Tajima.lec	pi.lec	tP.pine	Nsites_pine	Tajima.pine	pi.pine	avg.dxy	Nsites_dxy
"(1488898,1490452)(17064782,17099587)(17050000,17100000)"	2	17075000	1556	0.833134	17050000	17100000	0.121433	0.286139	1930	0.424384652	1	3	3.31	5.227441	6077	-1.944139	0.000860201	24.415257	7139	0.011295	0.003419983	0.608133622	34
"(903147,906310)(14707187,14749998)(14700000,14750000)"	4	14725000	3165	0.833047	14700000	14750000	0.012973	0.014961	3059	0.867121182	0.92906	12	3.98	5.69935	8273	-1.978058	0.00068891	5.45343	10181	-2.160198	0.000535648	0.621666948	16
"(736646,741231)(8200044,8249274)(8200000,8250000)"	5	8225000	4587	0.832675	8200000	8250000	1.92946	1.987075	4652	0.971005121	0.44576	3	8.57	7.560492	9715	-1.820603	0.000778229	11.132122	11894	-1.760705	0.000935944	0.795305971	25
"(3054516,3056357)(40253164,40299975)(40250000,40300000)"	3	40275000	1843	0.832365	40250000	40300000	-0.309425	1.960723	1924	-0.157811685	NA	NA	8.82	11.422806	4625	-0.477196	0.002469796	7.089182	6195	-1.428856	0.001144339	0.706384144	19
"(1042724,1044593)(11602327,11648518)(11600000,11650000)"	2	11625000	1871	0.832195	11600000	11650000	0.10304	0.406557	1953	0.253445396	0.51984	5	5.47	9.971038	5326	-0.805635	0.001872144	3.873191	7778	-2.441145	0.000497967	0.743590992	16
"(1987865,1992287)(28700000,28749999)(28700000,28750000)"	4	28725000	4424	0.832065	28700000	28750000	-0.071191	0.213583	4524	-0.333317727	0.86454	9	3.27	9.150477	10101	-2.147581	0.000905898	5.36498	12814	-2.526686	0.000418681	0.609195276	29
"(1536188,1540434)(17850095,17899231)(17850000,17900000)"	2	17875000	4248	0.831994	17850000	17900000	0.318362	2.949628	4407	0.107932933	NA	NA	3.56	20.024017	9024	-1.640353	0.002218974	16.029837	11714	-1.019745	0.001368434	0.676209665	60
"(1101953,1103698)(17301907,17348758)(17300000,17350000)"	5	17325000	1747	0.830861	17300000	17350000	-2.199858	3.866325	1872	-0.568979069	NA	NA	3.17	10.546474	4312	-0.888737	0.002445843	5.818105	7730	-1.763764	0.000752666	0.675284444	22
"(784554,789249)(17005880,17049999)(17000000,17050000)"	3	17025000	4697	0.83042	17000000	17050000	0.368726	0.565856	4976	0.651625148	0.90706	2	1.74	6.534579	8483	-1.979593	0.000770315	22.396618	10190	-1.368673	0.002197902	0.761387168	68
"(447384,451213)(5218909,5249999)(5200000,5250000)"	4	5225000	3831	0.830361	5200000	5250000	-0.02325	0.380162	3868	-0.061158138	0.36552	7	7.69	7.494568	6765	-1.330878	0.001107844	5.554481	9167	-2.018674	0.000605921	0.737516923	21
"(1056224,1060320)(16400026,16449176)(16400000,16450000)"	4	16425000	4098	0.829721	16400000	16450000	-0.042601	0.142173	4192	-0.299641985	0.8791	5	4.76	8.257617	8797	-2.003304	0.000938686	11.112906	10966	-1.585296	0.001013396	0.680266636	35
